long,lat,suitability,species
36.25,-20.25,1,silky shark
36.75,-20.25,0.8999999761581421,silky shark
37.25,-20.25,0.7200000286102295,silky shark
37.75,-20.25,0.6100000143051147,silky shark
38.25,-20.25,0.5199999809265137,silky shark
38.75,-20.25,0.4399999976158142,silky shark
39.25,-20.25,0.38999998569488525,silky shark
39.75,-20.25,0.36000001430511475,silky shark
40.25,-20.25,0.3700000047683716,silky shark
40.75,-20.25,0.41999998688697815,silky shark
41.25,-20.25,0.4600000083446502,silky shark
41.75,-20.25,0.38999998569488525,silky shark
42.25,-20.25,0.5799999833106995,silky shark
42.75,-20.25,0.6200000047683716,silky shark
43.25,-20.25,0.7300000190734863,silky shark
43.75,-20.25,1,silky shark
44.25,-20.25,0.949999988079071,silky shark
48.75,-20.25,1,silky shark
49.25,-20.25,0.8500000238418579,silky shark
49.75,-20.25,0.20000000298023224,silky shark
34.75,-20.75,0.949999988079071,silky shark
35.25,-20.75,0.75,silky shark
35.75,-20.75,1,silky shark
36.25,-20.75,0.9700000286102296,silky shark
36.75,-20.75,0.7099999785423279,silky shark
37.25,-20.75,0.6000000238418579,silky shark
37.75,-20.75,0.4699999988079071,silky shark
38.25,-20.75,0.4099999964237213,silky shark
38.75,-20.75,0.3700000047683716,silky shark
39.25,-20.75,0.3499999940395355,silky shark
39.75,-20.75,0.30000001192092896,silky shark
40.25,-20.75,0.3700000047683716,silky shark
40.75,-20.75,0.36000001430511475,silky shark
41.25,-20.75,0.38999998569488525,silky shark
41.75,-20.75,0.3799999952316284,silky shark
42.25,-20.75,0.4900000095367432,silky shark
42.75,-20.75,0.6800000071525574,silky shark
43.25,-20.75,0.8700000047683716,silky shark
43.75,-20.75,0.959999978542328,silky shark
44.25,-20.75,0.949999988079071,silky shark
48.25,-20.75,1,silky shark
48.75,-20.75,1,silky shark
49.25,-20.75,0.6100000143051147,silky shark
49.75,-20.75,0.10000000149011612,silky shark
53.75,-20.75,0.1899999976158142,silky shark
35.25,-21.25,0.8399999737739563,silky shark
35.75,-21.25,1,silky shark
36.25,-21.25,0.8899999856948853,silky shark
36.75,-21.25,0.7200000286102295,silky shark
37.25,-21.25,0.5400000214576721,silky shark
37.75,-21.25,0.3199999928474426,silky shark
38.25,-21.25,0.3199999928474426,silky shark
38.75,-21.25,0.33000001311302185,silky shark
39.25,-21.25,0.5299999713897705,silky shark
39.75,-21.25,1,silky shark
40.25,-21.25,0.3199999928474426,silky shark
40.75,-21.25,0.3199999928474426,silky shark
41.25,-21.25,0.3199999928474426,silky shark
41.75,-21.25,0.3700000047683716,silky shark
42.25,-21.25,0.44999998807907104,silky shark
42.75,-21.25,0.7099999785423279,silky shark
43.25,-21.25,1,silky shark
43.75,-21.25,0.9800000190734864,silky shark
48.25,-21.25,1,silky shark
48.75,-21.25,1,silky shark
49.25,-21.25,0.4699999988079071,silky shark
49.75,-21.25,0.01999999955296516,silky shark
53.25,-21.25,0.20999999344348907,silky shark
53.75,-21.25,0.05000000074505806,silky shark
35.25,-21.75,1,silky shark
35.75,-21.75,1,silky shark
36.25,-21.75,0.949999988079071,silky shark
36.75,-21.75,0.7099999785423279,silky shark
